variable,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12
wtp_new,0.24985925582925356,0.10435828633698992,0.38602184524673877,0.03227250075292069,0.010565318606264527,0.07526241849995012,0.059931785216562006,0.0015187115372226852,0.0023327564454582853,0.03574118198200393,0.02485221647315021,0.09482218357718615
wtp_second,0.2593042405059698,0.12563869478539402,0.26824176335163996,0.08438636122284537,-0.13483365068273243,-0.03321039412994823,0.02892885684452352,0.05257997726775527,-0.025289094184823818,-0.08585605772857828,0.15582415064296498,0.061785238045429514
wtp_bio,0.297985821051655,0.116696017203222,0.3227664762750046,0.0544861618403189,0.016839885986614726,0.0834350171407692,0.036381673707896564,0.02374512126760588,-0.049680420495343394,0.038418819109160916,-0.062260411465640875,0.022811406913153708
wtp_recycle,0.3080221664264572,0.10737292430183407,0.26734495294539556,0.074437006981262,-0.03842021272901851,0.039417467366289705,-0.009540531516997922,0.04729446669272143,-0.04650125801024636,0.004042830137975632,-0.09037561977419789,-0.055174374445558325
wtp_workers,0.2991166377002491,0.09803140670685292,0.3197945301380071,0.06229361930231167,0.03141102843492939,0.05855978677709008,0.033664389480373064,-0.018292289656263172,0.04615514112768477,0.016583490154638936,-0.07374444042488551,-0.10368134768066535
i_clothes_versatile,0.13104956505738952,-0.2889111780972729,0.023819924163035976,-0.10766604842588275,-0.0818751167260491,0.10982312931580969,-0.1807595572558347,0.055722649604246305,0.08894016636562135,0.09985847383240695,-0.5369777976759679,0.016181061744278087
i_clothes_need,0.11404359287729288,-0.2927391603543217,-0.04888281724204194,-0.05462182515437161,-0.15385422594214543,0.15130490239955444,-0.05451349520418211,-0.3483774884975221,0.1627305114240405,0.25826520957639904,-0.25021829456196876,0.2306168071669841
i_clothes_size,0.06070820049673793,-0.3769909198289236,0.08665851185076867,-0.02523149130853577,-0.09770649725004885,0.12794020791100147,-0.16153051136962637,-0.2666551450735706,0.027358856272239444,0.2031924331392768,0.16569790507188234,-0.19823840077464808
i_clothes_fit,0.056267897016687565,-0.3328994713883814,0.12750309670850404,-0.13545354428769912,-0.021263827823684137,0.06547089776218921,-0.013412474480544449,-0.2159792740926012,-0.21313501712989372,-0.15892178600641774,0.24640995571838678,-0.25136885147889104
i_clothes_easy,0.09322684176656895,-0.24809592313910722,0.0016688712293861444,-0.19899670320503876,0.1735338765925717,-0.11048822941207845,0.13103316925099706,0.13027195251591497,-0.2958341125966192,-0.3291502595627558,0.09631588683901683,-0.02272961726025025
i_clothes_quality,0.0924599082454916,-0.2662518784235778,0.07115865421812995,-0.21861235131936052,0.17364767853425692,0.1376217505765308,-0.0023897539276410053,-0.07142556609099358,-0.09813148843808872,-0.24213737126600202,0.1995378012383942,0.4839015181976795
i_clothes_cheap,0.007663082944989779,-0.23663701197134454,-0.002536367603988357,-0.06346488121389951,-0.16875907822399844,-0.05345262722034822,0.3102176897310622,0.6142138724095463,0.030500335684210934,0.2519681944365862,0.04593897417274514,0.049118121976953005
i_clothes_value,0.06254399274784597,-0.3416558323708473,0.04693408857746855,-0.10094229636882664,-0.11114233800328854,0.13128549270604672,0.11639715911187287,0.2502585173610911,0.1192301047915957,0.19000805755619268,0.24660426601949148,-0.15018006202919792
i_clothes_environment,0.18954949775823587,-0.1118737703238869,-0.08867702439742159,-0.2072667143084753,0.04391381371683786,-0.13493931947894888,0.13293538223655046,0.20244016208858132,0.019853245438204745,-0.287349285264821,-0.40515438492461997,0.03081849128601615
second_stuff_dummy,-0.06480328641000449,0.006945318300715667,0.038111588180145026,-0.06481125606708922,0.5031582749502763,0.22958803092882074,-0.11933597582434416,0.26328047270278154,0.025974795924956343,0.23851611866042124,-0.14291962446087583,-0.12390597633945037
bio_item_dummy,-0.13634326188931759,-0.05641242947004463,0.00667316636891499,0.22744838111245844,-0.02566146320984251,0.47138770864584184,0.35426729550179875,-0.07573610232806585,-0.07168319104182912,-0.09355610423833273,0.019820020671047208,0.05189266962689727
second_clothes_dummy,-0.052098204612844395,0.004638815279616383,0.07703885219868821,-0.007200152937762189,0.5323581239810016,0.21997240721528538,-0.21336226887226897,0.0947219385893384,-0.031883099486902426,0.19445592397580774,0.12244516543111202,-0.006516860115628118
bio_clothes_dummy,-0.1280489943099583,0.007733607918661314,-0.013536977635662875,0.20470144759147355,0.08852658957600862,0.33387551990272857,0.5383914858149794,-0.14050418839608056,0.07768772800991817,-0.10814198547675649,-0.21519156070638365,-0.19965067977129072
wtp_cert_quality,0.24290153291393835,0.10807163335002327,-0.26698373609742254,-0.032332959031831254,-0.08181048394367212,0.07609357447633133,0.009124015529757385,-0.02678335903940779,0.052391747117414025,0.12718751060244418,0.07476045863144705,0.3605544602372632
wtp_cert_bio,0.2808269837798908,0.10931840142314946,-0.284054087327558,-0.09636323589079307,0.035508501287391483,0.14767421948887102,0.11150775190155841,-0.07768621839189882,0.008983910675425139,0.14907099380739308,0.09240029081588601,0.05598318357349789
wtp_cert_recycle,0.280860142649788,0.1259381003558569,-0.29139082947254175,-0.09416288938642972,0.05103833166975087,0.10221980512332969,0.047756759309073034,0.034118186565394816,-0.033950021599696095,0.018314895783801625,0.02228498112946318,0.0449148178447283
wtp_cert_workers,0.2949309418108279,0.06478763274635162,-0.27852107656885455,-0.07835357879730184,0.10693542172372274,0.026196637821702392,0.10125711335014102,-0.093752136366868,0.07987370882097818,-0.029874051874440175,0.11111943301759847,-0.23431098540206216
wtp_cert_workers_env,0.3104627898080252,0.06524171417867108,-0.263188743678629,-0.06545343783931314,0.08884973337863561,0.0031668053142407857,0.03537828048166215,-0.02970378721039095,0.04166908552258558,0.010721569971746954,0.11626649886883204,-0.3244561416425256
sustainable_fashion_item1,0.11015683670187604,-0.17485833134588125,-0.08052951575915909,0.37820190392155,-0.14750368358409854,-0.19830277069057864,0.12640266223675606,0.06272466451120023,-0.035072281616089995,0.11813236931415094,0.0805427854795561,-0.07593847170635801
sustainable_fashion_item2,0.060904492693761296,-0.13713877426015084,-0.07733834804374072,0.43628753022848354,0.21350149530975518,-0.041251607130642465,0.06925117753919428,0.055224579008904366,-0.0634709064919191,0.006959889785284914,0.10695997907705841,0.40596462641844117
sustainable_fashion_item3,0.1523535334947776,-0.20215501699701682,-0.049194259171617225,0.31370427398201384,0.1865886338691239,-0.24846706270823468,-0.11054019639715909,-0.021640051302881897,0.01964920244761306,-0.17009665786103326,-0.1237798339506492,-0.1594954096877561
sustainable_fashion_item4,0.14082386434727745,-0.22683407143874024,-0.12459819469802084,0.4064410692278462,0.19793685154941323,-0.12171638120922498,-0.11065808506922338,-0.04558079726794848,-0.011428489761828099,-0.028651438120563578,-0.09675568918215488,-0.011177999031517755
generation,-0.0310283556483468,-0.06235190448751065,0.12822022225969773,-0.25191153246583087,0.26992957109455035,-0.24014592948461838,0.3481549214332407,-0.22990982583910397,0.3218590924419313,-0.09670168311130851,-0.08450880062766593,0.06648394238352402
household,0.03167853099206346,0.012922517169930271,-0.1446526209011147,0.054739109271853104,-0.21024987670959264,0.42063091288485865,-0.2710271777512626,0.1814281976423318,-0.2638489201878383,-0.37149178884035505,-0.1489910004000892,-0.05013602274751815
locationsize,-0.012042141150067378,0.04195372566647884,-0.011897172551877442,-0.1018168477536655,0.046922920660517654,-0.17473414506851906,0.21244294430564978,-0.17964463207433995,-0.7716187389918877,0.3888829867531358,-0.2185539117926094,-0.0028815838471426807
